provided_name,provided_upper,class,order,family,subfam,genus,final_aqem,final_name,trait_name,explanation,final_trait_match
Haliplus furcatus Ad.,HALIPLUS FURCATUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12440,HALIPLUS FURCATUS,HALIPLUS FURCATUS AD.,Coleopteran,No Match
Haliplus heydeni,HALIPLUS HEYDENI,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8293,HALIPLUS HEYDENI,HALIPLUS HEYDENI AD.,Coleopteran,No Match
Haliplus heydeni Ad.,HALIPLUS HEYDENI AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8293,HALIPLUS HEYDENI,HALIPLUS HEYDENI AD.,Coleopteran,No Match
Haliplus immaculatus,HALIPLUS IMMACULATUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8294,HALIPLUS IMMACULATUS,HALIPLUS IMMACULATUS AD.,Coleopteran,No Match
Haliplus immaculatus ad,HALIPLUS IMMACULATUS AD,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8294,HALIPLUS IMMACULATUS,HALIPLUS IMMACULATUS AD.,Coleopteran,No Match
Haliplus immaculatus Ad.,HALIPLUS IMMACULATUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8294,HALIPLUS IMMACULATUS,HALIPLUS IMMACULATUS AD.,Coleopteran,No Match
Haliplus laminatus,HALIPLUS LAMINATUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5390,HALIPLUS LAMINATUS,HALIPLUS LAMINATUS AD.,Coleopteran,No Match
Haliplus laminatus ad,HALIPLUS LAMINATUS AD,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5390,HALIPLUS LAMINATUS,HALIPLUS LAMINATUS AD.,Coleopteran,No Match
Haliplus laminatus Ad.,HALIPLUS LAMINATUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5390,HALIPLUS LAMINATUS,HALIPLUS LAMINATUS AD.,Coleopteran,No Match
Haliplus laminatus Lv.,HALIPLUS LAMINATUS LV.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5389,HALIPLUS LAMINATUS,HALIPLUS LAMINATUS LV.,Coleopteran,No Match
Haliplus lineatocollis,HALIPLUS LINEATOCOLLIS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12442,HALIPLUS LINEATOCOLLIS,HALIPLUS LINEATOCOLLIS AD.,Coleopteran,No Match
Haliplus lineatocollis Ad.,HALIPLUS LINEATOCOLLIS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12442,HALIPLUS LINEATOCOLLIS,HALIPLUS LINEATOCOLLIS AD.,Coleopteran,No Match
Haliplus lineatocollis Lv.,HALIPLUS LINEATOCOLLIS LV.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5391,HALIPLUS LINEATOCOLLIS,HALIPLUS LINEATOCOLLIS LV.,Coleopteran,No Match
Haliplus lineolatus,HALIPLUS LINEOLATUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12446,HALIPLUS LINEOLATUS,HALIPLUS LINEOLATUS AD.,Coleopteran,No Match
Haliplus lineolatus Ad.,HALIPLUS LINEOLATUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12446,HALIPLUS LINEOLATUS,HALIPLUS LINEOLATUS AD.,Coleopteran,No Match
Haliplus mucronatus,HALIPLUS MUCRONATUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12444,HALIPLUS MUCRONATUS,HALIPLUS MUCRONATUS AD.,Coleopteran,No Match
Haliplus obliquus,HALIPLUS OBLIQUUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12445,HALIPLUS OBLIQUUS,HALIPLUS OBLIQUUS AD.,Coleopteran,No Match
Haliplus obliquus Ad.,HALIPLUS OBLIQUUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12445,HALIPLUS OBLIQUUS,HALIPLUS OBLIQUUS AD.,Coleopteran,No Match
Haliplus ruficollis,HALIPLUS RUFICOLLIS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8296,HALIPLUS RUFICOLLIS,HALIPLUS RUFICOLLIS AD.,Coleopteran,No Match
Haliplus ruficollis Ad.,HALIPLUS RUFICOLLIS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8296,HALIPLUS RUFICOLLIS,HALIPLUS RUFICOLLIS AD.,Coleopteran,No Match
Haliplus ruficollis group,HALIPLUS RUFICOLLIS GROUP,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,9537,HALIPLUS SP.,HALIPLUS SP. AD.,Provided taxon ID does not exist. Use genus level.,No Match
Haliplus ruficollis Lv.,HALIPLUS RUFICOLLIS LV.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5395,HALIPLUS RUFICOLLIS,HALIPLUS RUFICOLLIS LV.,Coleopteran,No Match
Haliplus ruficollis-Gr.,HALIPLUS RUFICOLLIS-GR.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,9537,HALIPLUS SP.,HALIPLUS SP. AD.,Coleopteran,No Match
Haliplus sibiricus,HALIPLUS SIBIRICUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12450,HALIPLUS SIBIRICUS,HALIPLUS SIBIRICUS AD.,Coleopteran,No Match
Haliplus ad,HALIPLUS AD,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,9537,HALIPLUS SP.,HALIPLUS SP. AD.,Coleopteran,No Match
Haliplus Lv,HALIPLUS LV,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5396,HALIPLUS SP.,HALIPLUS SP. LV.,Coleopteran,No Match
Haliplus sp.,HALIPLUS SP.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,9537,HALIPLUS SP.,HALIPLUS SP. AD.,Coleopteran,No Match
Haliplus sp. Ad.,HALIPLUS SP. AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,9537,HALIPLUS SP.,HALIPLUS SP. AD.,Coleopteran,No Match
Haliplus sp. Lv.,HALIPLUS SP. LV.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,5396,HALIPLUS SP.,HALIPLUS SP. LV.,Coleopteran,No Match
Haliplus variegatus Ad.,HALIPLUS VARIEGATUS AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12453,HALIPLUS VARIEGATUS,HALIPLUS VARIEGATUS AD.,Coleopteran,No Match
Haliplus varius,HALIPLUS VARIUS,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,12452,HALIPLUS VARIUS,HALIPLUS VARIUS AD.,Coleopteran,No Match
Haliplus wehnckei,HALIPLUS WEHNCKEI,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8297,HALIPLUS WEHNCKEI,HALIPLUS WEHNCKEI AD.,Coleopteran,No Match
Haliplus wehnckei Ad.,HALIPLUS WEHNCKEI AD.,INSECTA,COLEOPTERA,HALIPLIDAE,NA,HALIPLUS,8297,HALIPLUS WEHNCKEI,HALIPLUS WEHNCKEI AD.,Coleopteran,No Match
Hapalothrix,HAPALOTHRIX,INSECTA,DIPTERA,BLEPHARICERIDAE,NA,HAPALOTHRIX,9784,HAPALOTHRIX SP.,HAPALOTHRIX SP.,,1
Hapalothrix lugubris,HAPALOTHRIX LUGUBRIS,INSECTA,DIPTERA,BLEPHARICERIDAE,NA,HAPALOTHRIX,9721,HAPALOTHRIX LUGUBRIS,HAPALOTHRIX LUGUBRIS,,1
Haplotaxidae,HAPLOTAXIDAE,CLITELLATA,HAPLOTAXIDA,HAPLOTAXIDAE,NA,NA,5400,HAPLOTAXIDAE GEN. SP.,HAPLOTAXIDAE GEN. SP.,,1
HAPLOTAXIDAE Gen. sp.,HAPLOTAXIDAE GEN. SP.,CLITELLATA,HAPLOTAXIDA,HAPLOTAXIDAE,NA,NA,5400,HAPLOTAXIDAE GEN. SP.,HAPLOTAXIDAE GEN. SP.,,1
Haplotaxis,HAPLOTAXIS,CLITELLATA,HAPLOTAXIDA,HAPLOTAXIDAE,NA,HAPLOTAXIS,8155,HAPLOTAXIS SP.,HAPLOTAXIS SP.,,1
Haplotaxis gordioides,HAPLOTAXIS GORDIOIDES,CLITELLATA,HAPLOTAXIDA,HAPLOTAXIDAE,NA,HAPLOTAXIS,5401,HAPLOTAXIS GORDIOIDES,HAPLOTAXIS GORDIOIDES,,1
Haplotaxis gordioides Hartmann,HAPLOTAXIS GORDIOIDES HARTMANN,CLITELLATA,HAPLOTAXIDA,HAPLOTAXIDAE,NA,HAPLOTAXIS,5401,HAPLOTAXIS GORDIOIDES,HAPLOTAXIS GORDIOIDES,,1
Harnischia,HARNISCHIA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE-TRIBUS CHIRONOMINI,HARNISCHIA,5404,HARNISCHIA SP.,HARNISCHIA SP.,,1
Harnischia curtilamellata,HARNISCHIA CURTILAMELLATA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE-TRIBUS CHIRONOMINI,HARNISCHIA,5402,HARNISCHIA CURTILAMELLATA,HARNISCHIA CURTILAMELLATA,,1
Harnischia fuscimana,HARNISCHIA FUSCIMANA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE-TRIBUS CHIRONOMINI,HARNISCHIA,5403,HARNISCHIA FUSCIMANUS,HARNISCHIA FUSCIMANUS,,1
Harnischia fuscimanus,HARNISCHIA FUSCIMANUS,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE-TRIBUS CHIRONOMINI,HARNISCHIA,5403,HARNISCHIA FUSCIMANUS,HARNISCHIA FUSCIMANUS,,1
Harnischia sp.,HARNISCHIA SP.,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE-TRIBUS CHIRONOMINI,HARNISCHIA,5404,HARNISCHIA SP.,HARNISCHIA SP.,,1
Harpacticoida Ad.,HARPACTICOIDA AD.,NA,NA,NA,NA,NA,NA,REMOVE,REMOVE,zooplankton,1
Harpacticoida Gen. sp.,HARPACTICOIDA GEN. SP.,NA,NA,NA,NA,NA,NA,REMOVE,REMOVE,zooplankton,1
HEBRIDAE,HEBRIDAE,INSECTA,HEMIPTERA,HEBRIDAE,NA,NA,9288,HEBRIDAE GEN. SP.,HEBRIDAE GEN. SP.,,1
Hebridae Gen. sp.,HEBRIDAE GEN. SP.,INSECTA,HEMIPTERA,HEBRIDAE,NA,NA,9288,HEBRIDAE GEN. SP.,HEBRIDAE GEN. SP.,,1
Hebrus,HEBRUS,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,5406,HEBRUS SP.,HEBRUS SP.,,1
Hebrus pusillus,HEBRUS PUSILLUS,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,19335,HEBRUS PUSILLUS SSP.,HEBRUS PUSILLUS SSP.,,1
Hebrus pusillus pusillus,HEBRUS PUSILLUS PUSILLUS,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,8196,HEBRUS PUSILLUS PUSILLUS,HEBRUS PUSILLUS PUSILLUS,,1
Hebrus pusillus ssp.,HEBRUS PUSILLUS SSP.,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,19335,HEBRUS PUSILLUS SSP.,HEBRUS PUSILLUS SSP.,,1
Hebrus ruficeps,HEBRUS RUFICEPS,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,8197,HEBRUS RUFICEPS,HEBRUS RUFICEPS,,1
Hebrus sp.,HEBRUS SP.,INSECTA,HEMIPTERA,HEBRIDAE,NA,HEBRUS,5406,HEBRUS SP.,HEBRUS SP.,,1
Hediste diversicolor,HEDISTE DIVERSICOLOR,POLYCHAETA,PHYLLODOCIDA,NEREIDAE,NA,NA,13546,NEREIS DIVERSICOLOR,NEREIS DIVERSICOLOR,,1
Heleniella ornaticollis,HELENIELLA ORNATICOLLIS,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,HELENIELLA,5408,HELENIELLA ORNATICOLLIS,HELENIELLA ORNATICOLLIS,,1
Heleniella serratosioi,HELENIELLA SERRATOSIOI,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,HELENIELLA,5409,HELENIELLA SERRATOSIOI,HELENIELLA SERRATOSIOI,,1
Heleniella sp.,HELENIELLA SP.,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,HELENIELLA,5410,HELENIELLA SP.,HELENIELLA SP.,,1
Heleobia,HELEOBIA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,NA,NA,NA,HELEOBIA SP.,GASTROPODA GEN. SP.,"Not in FWE, need to use higher level for traits",No Match
Heleodromia,HELEODROMIA,INSECTA,DIPTERA,EMPIDIDAE,TRICHOPEZINAE,HELEODROMIA,17040,HELEODROMIA SP.,HELEODROMIA SP.,,1
Heleodromia sp.,HELEODROMIA SP.,INSECTA,DIPTERA,EMPIDIDAE,TRICHOPEZINAE,HELEODROMIA,17040,HELEODROMIA SP.,HELEODROMIA SP.,,1
Helichus,HELICHUS,INSECTA,COLEOPTERA,DRYOPIDAE,NA,POMATINUS,11621,POMATINUS SP.,POMATINUS SP. AD.,Coleopteran,No Match
Helichus substriatus,HELICHUS SUBSTRIATUS,INSECTA,COLEOPTERA,DRYOPIDAE,NA,POMATINUS,11623,POMATINUS SUBSTRIATUS,POMATINUS SUBSTRIATUS AD.,Coleopteran,No Match
Helicidae,HELICIDAE,NA,NA,NA,NA,NA,NA,REMOVE,REMOVE,terrestrial snail,1
Helicidae Gen. sp.,HELICIDAE GEN. SP.,NA,NA,NA,NA,NA,NA,REMOVE,REMOVE,terrestrial snail,1
Helicopsyche,HELICOPSYCHE,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,NA,HELICOPSYCHE,12459,HELICOPSYCHE SP.,HELICOPSYCHE SP.,,1
Helicopsyche sp.,HELICOPSYCHE SP.,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,NA,HELICOPSYCHE,12459,HELICOPSYCHE SP.,HELICOPSYCHE SP.,,1
Helicopsychidae,HELICOPSYCHIDAE,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,NA,HELICOPSYCHE,8433,HELICOPSYCHIDAE GEN. SP.,HELICOPSYCHIDAE GEN. SP.,,1
Helicopsychidae Gen. sp.,HELICOPSYCHIDAE GEN. SP.,INSECTA,TRICHOPTERA,HELICOPSYCHIDAE,NA,HELICOPSYCHE,8433,HELICOPSYCHIDAE GEN. SP.,HELICOPSYCHIDAE GEN. SP.,,1
Helius,HELIUS,INSECTA,DIPTERA,LIMONIIDAE,LIMONIINAE,HELIUS,10600,HELIUS SP.,HELIUS SP.,,1
Helius longirostris,HELIUS LONGIROSTRIS,INSECTA,DIPTERA,LIMONIIDAE,LIMONIINAE,HELIUS,19336,HELIUS LONGIROSTRIS SSP.,HELIUS LONGIROSTRIS SSP.,,1
Helius sp.,HELIUS SP.,INSECTA,DIPTERA,LIMONIIDAE,LIMONIINAE,HELIUS,10600,HELIUS SP.,HELIUS SP.,,1
Helminthidae Gen. sp. Ad.,HELMINTHIDAE GEN. SP. AD.,INSECTA,COLEOPTERA,ELMIDAE,NA,NA,12061,ELMIDAE GEN. SP.,ELMIDAE GEN. SP. AD.,Coleopteran,No Match
Helobdella,HELOBDELLA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,9009,HELOBDELLA SP.,HELOBDELLA SP.,,1
Helobdella sp.,HELOBDELLA SP.,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,9009,HELOBDELLA SP.,HELOBDELLA SP.,,1
Helobdella stagnalis,HELOBDELLA STAGNALIS,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,5413,HELOBDELLA STAGNALIS,HELOBDELLA STAGNALIS,,1
Helobdella stagnalis (Linneaus),HELOBDELLA STAGNALIS (LINNEAUS),CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,5413,HELOBDELLA STAGNALIS,HELOBDELLA STAGNALIS,,1
Helobdella stagnalis (Linneaus),HELOBDELLA STAGNALIS (LINNEAUS),CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,5413,HELOBDELLA STAGNALIS,HELOBDELLA STAGNALIS,,1
Helobdella stagnalis (Linnaeus),HELOBDELLA STAGNALIS (LINNAEUS),CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HAEMENTERIINAE,HELOBDELLA,5413,HELOBDELLA STAGNALIS,HELOBDELLA STAGNALIS,,1
Helochares,HELOCHARES,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9570,HELOCHARES SP.,HELOCHARES SP. AD.,Coleopteran,No Match
Helochares lividus,HELOCHARES LIVIDUS,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9568,HELOCHARES LIVIDUS,HELOCHARES LIVIDUS AD.,Coleopteran,No Match
Helochares lividus Ad.,HELOCHARES LIVIDUS AD.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9568,HELOCHARES LIVIDUS,HELOCHARES LIVIDUS AD.,Coleopteran,No Match
Helochares lividus Lv.,HELOCHARES LIVIDUS LV.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,5414,HELOCHARES LIVIDUS,HELOCHARES LIVIDUS LV.,Coleopteran,No Match
Helochares lividus (Forster 1771),HELOCHARES LIVIDUS (FORSTER 1771),INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9568,HELOCHARES LIVIDUS,HELOCHARES LIVIDUS AD.,Coleopteran,No Match
Helochares obscurus,HELOCHARES OBSCURUS,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9569,HELOCHARES OBSCURUS,HELOCHARES OBSCURUS AD.,Coleopteran,No Match
Helochares obscurus Ad.,HELOCHARES OBSCURUS AD.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9569,HELOCHARES OBSCURUS,HELOCHARES OBSCURUS AD.,Coleopteran,No Match
Helochares obscurus Lv.,HELOCHARES OBSCURUS LV.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,8290,HELOCHARES OBSCURUS,HELOCHARES OBSCURUS LV.,Coleopteran,No Match
Helochares punctatus,HELOCHARES PUNCTATUS,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,12978,HELOCHARES PUNCTATUS,HELOCHARES PUNCTATUS,,1
Helochares sp.,HELOCHARES SP.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9570,HELOCHARES SP.,HELOCHARES SP. AD.,Coleopteran,No Match
Helochares sp. Ad.,HELOCHARES SP. AD.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,9570,HELOCHARES SP.,HELOCHARES SP. AD.,Coleopteran,No Match
Helochares sp. Lv.,HELOCHARES SP. LV.,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HELOCHARES,5416,HELOCHARES SP.,HELOCHARES SP. LV.,Coleopteran,No Match
Helodes,HELODES,INSECTA,COLEOPTERA,SCIRTIDAE,NA,ELODES,5418,ELODES SP.,ELODES SP. LV.,Coleopteran,No Match
Helodidae,HELODIDAE,INSECTA,COLEOPTERA,SCIRTIDAE,NA,NA,14070,SCIRTIDAE GEN. SP.,SCIRTIDAE GEN. SP.,,1
Helodidae Gen. sp.,HELODIDAE GEN. SP.,INSECTA,COLEOPTERA,SCIRTIDAE,NA,NA,14070,SCIRTIDAE GEN. SP.,SCIRTIDAE GEN. SP.,,1
Helodidae/Scirtidae Gen. sp.,HELODIDAE/SCIRTIDAE GEN. SP.,INSECTA,COLEOPTERA,SCIRTIDAE,NA,NA,14070,SCIRTIDAE GEN. SP.,SCIRTIDAE GEN. SP.,,1
Helodrilus,HELODRILUS,CLITELLATA,CRASSICLITELLATA,LUMBRICIDAE,NA,HELODRILUS,9010,HELODRILUS SP.,HELODRILUS SP.,,1
Helodrilus sp.,HELODRILUS SP.,CLITELLATA,CRASSICLITELLATA,LUMBRICIDAE,NA,HELODRILUS,9010,HELODRILUS SP.,HELODRILUS SP.,,1
Helophilus,HELOPHILUS,INSECTA,DIPTERA,SYRPHIDAE,NA,HELOPHILUS,9516,HELOPHILUS SP.,HELOPHILUS SP.,,1
Helophilus hybridus,HELOPHILUS HYBRIDUS,INSECTA,DIPTERA,SYRPHIDAE,NA,HELOPHILUS,14183,HELOPHILUS HYBRIDUS,HELOPHILUS HYBRIDUS,,1
HELOPHORIDAE,HELOPHORIDAE,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12529,HELOPHORUS SP.,HELOPHORUS SP. AD.,"Coleopteran, only one genus in the amily",No Match
Helophoridae Gen. sp.,HELOPHORIDAE GEN. SP.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12529,HELOPHORUS SP.,HELOPHORUS SP. AD.,"Coleopteran, only one genus in the amily",No Match
Helophoridae Gen. sp. Ad.,HELOPHORIDAE GEN. SP. AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12529,HELOPHORUS SP.,HELOPHORUS SP. AD.,"Coleopteran, only one genus in the amily",No Match
Helophorus,HELOPHORUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12529,HELOPHORUS SP.,HELOPHORUS SP. AD.,Coleopteran,No Match
Helophorus (Helophorus),HELOPHORUS (HELOPHORUS),INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,NA,HELOPHORUS (HELOPHORUS) SP.,HELOPHORUS SP.,Use genus level for traits,No Match
Helophorus (Meghelophorus),HELOPHORUS (MEGHELOPHORUS),INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,17967,HELOPHORUS (MEGHELOPHORUS) SP.,HELOPHORUS SP.,Use genus level for traits,No Match
Helophorus aequalis,HELOPHORUS AEQUALIS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12490,HELOPHORUS AEQUALIS,HELOPHORUS AEQUALIS AD.,Coleopteran,No Match
Helophorus aequalis Ad.,HELOPHORUS AEQUALIS AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12490,HELOPHORUS AEQUALIS,HELOPHORUS AEQUALIS AD.,Coleopteran,No Match
Helophorus aequalis/aquaticus,HELOPHORUS AEQUALIS/AQUATICUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,NA,HELOPHORUS AEQUALIS/AQUATICUS,HELOPHORUS SP. AD.,Use genus level for traits,No Match
Helophorus aequalis / aquaticus,HELOPHORUS AEQUALIS / AQUATICUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,NA,HELOPHORUS AEQUALIS/AQUATICUS,HELOPHORUS SP. AD.,Use genus level for traits,No Match
Helophorus alternans,HELOPHORUS ALTERNANS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12462,HELOPHORUS ALTERNANS,HELOPHORUS ALTERNANS AD.,Coleopteran,No Match
Helophorus aquaticus,HELOPHORUS AQUATICUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12491,HELOPHORUS AQUATICUS,HELOPHORUS AQUATICUS AD.,Coleopteran,No Match
Helophorus aquaticus Ad.,HELOPHORUS AQUATICUS AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12491,HELOPHORUS AQUATICUS,HELOPHORUS AQUATICUS AD.,Coleopteran,No Match
Helophorus arvernicus,HELOPHORUS ARVERNICUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12492,HELOPHORUS ARVERNICUS,HELOPHORUS ARVERNICUS AD.,Coleopteran,No Match
Helophorus arvernicus ad,HELOPHORUS ARVERNICUS AD,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12492,HELOPHORUS ARVERNICUS,HELOPHORUS ARVERNICUS AD.,Coleopteran,No Match
Helophorus arvernicus Ad.,HELOPHORUS ARVERNICUS AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12492,HELOPHORUS ARVERNICUS,HELOPHORUS ARVERNICUS AD.,Coleopteran,No Match
Helophorus brevipalpis,HELOPHORUS BREVIPALPIS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12468,HELOPHORUS BREVIPALPIS,HELOPHORUS BREVIPALPIS AD.,Coleopteran,No Match
Helophorus brevipalpis Ad.,HELOPHORUS BREVIPALPIS AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12468,HELOPHORUS BREVIPALPIS,HELOPHORUS BREVIPALPIS AD.,Coleopteran,No Match
Helophorus dorsalis,HELOPHORUS DORSALIS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12497,HELOPHORUS DORSALIS,HELOPHORUS DORSALIS AD.,Coleopteran,No Match
Helophorus flavipes,HELOPHORUS FLAVIPES,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,5428,HELOPHORUS FLAVIPES,HELOPHORUS FLAVIPES AD.,Coleopteran,No Match
Helophorus flavipes Ad.,HELOPHORUS FLAVIPES AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,5428,HELOPHORUS FLAVIPES,HELOPHORUS FLAVIPES AD.,Coleopteran,No Match
Helophorus flavipes/obscurus,HELOPHORUS FLAVIPES/OBSCURUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,20400,HELOPHORUS FLAVIPES/OBSCURUS,HELOPHORUS FLAVIPES/OBSCURUS AD.,Coleopteran,No Match
Helophorus flavipes/obscurus Ad.,HELOPHORUS FLAVIPES/OBSCURUS AD.,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,20400,HELOPHORUS FLAVIPES/OBSCURUS,HELOPHORUS FLAVIPES/OBSCURUS AD.,Coleopteran,No Match
Helophorus flavipes / obscurus,HELOPHORUS FLAVIPES / OBSCURUS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,20400,HELOPHORUS FLAVIPES/OBSCURUS,HELOPHORUS FLAVIPES/OBSCURUS AD.,Coleopteran,No Match
Helophorus fulgidicollis,HELOPHORUS FULGIDICOLLIS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12475,HELOPHORUS FULGIDICOLLIS,HELOPHORUS FULGIDICOLLIS AD.,Coleopteran,No Match
Helophorus glacialis,HELOPHORUS GLACIALIS,INSECTA,COLEOPTERA,HELOPHORIDAE,NA,HELOPHORUS,12499,HELOPHORUS GLACIALIS,HELOPHORUS GLACIALIS AD.,Coleopteran,No Match
