"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",50,"NRW_456408","GER_070_MZB_LO_305","Asdorfer Bach",50.8666969997612,7.88734589395029,2006,2018,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",50,"NRW_456706","GER_070_MZB_LO_306","Fischbach",50.8655589437952,7.88966090889971,2009,2019,11,5,199.278076898739
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",52,"NRW_601007","GER_070_MZB_LO_326","Afte",51.5533652798656,8.56207490752293,2008,2019,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",52,"NRW_601901","GER_070_MZB_LO_331","Alme",51.5560432005713,8.55685641723482,2008,2019,12,5,452.716372351829
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",54,"NRW_717204","GER_070_MZB_LO_374","Eusternbach",51.8262125936864,8.32623473803849,2008,2018,11,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",54,"NRW_717708","GER_070_MZB_LO_375","Hamelbach",51.8292729092716,8.31280935274546,2008,2018,11,5,952.448911639178
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",56,"NRW_745704","GER_070_MZB_LO_392","Diemel",51.4901328728176,9.10461239453539,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",56,"NRW_791325","GER_070_MZB_LO_410","Diemel",51.4868926368137,9.11749517439491,2007,2019,13,5,931.597287835706
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",58,"NRW_800016","GER_070_MZB_LO_417","Vechte",52.2486038467483,7.29358475448922,2007,2019,13,6,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",58,"NRW_800132","GER_070_MZB_LO_418","Steinfurter Aa",52.2501952228426,7.29668806824242,2007,2019,13,7,266.767425019761
