country,prov,origin,dataset.id,group,org.site,unique.id,river,latitude,longitude,st.yr,ed.yr,yr.ln,yr.num
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,12,IR0120,IRL_051_MZB_LO_120,LIFFEY,53.1356112,-6.6229486,2010,2022,13,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,23,IR0179,IRL_051_MZB_LO_179,AUGHBOY (WEXFORD),52.6383929,-6.2345273,2007,2018,12,6
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,35,IR0216,IRL_051_MZB_LO_216,COOLBOY ,52.7635854,-6.4616184,2010,2023,14,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,41,IR0238,IRL_051_MZB_LO_238,KNICKEEN,53.0026079,-6.5240909,2010,2023,14,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,43,IR0242,IRL_051_MZB_LO_242,KILDAVIN STREAM,52.6744349,-6.682386,2010,2022,13,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,46,IR0250,IRL_051_MZB_LO_250,ROSNASTRAW STREAM,52.7779036,-6.4279946,2010,2022,13,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,60,IR0370,IRL_051_MZB_LO_370,NORE,52.5238554,-7.1370224,2007,2022,16,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,71,IR0477,IRL_051_MZB_LO_477,ROSSESTOWN,52.7736554,-7.6907135,2008,2020,13,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,128,IR0853,IRL_051_MZB_LO_853,OWVANE (LIMERICK),52.534464,-9.1464908,2008,2020,13,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,132,IR0873,IRL_051_MZB_LO_873,BLEACH,53.0121496,-8.636186,2012,2023,12,7
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,153,IR0942,IRL_051_MZB_LO_942,GRANEY (SHANNON),52.9087221,-8.545599,2012,2023,12,5
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,157,IR1033,IRL_051_MZB_LO_1033,CASTLEGAR,53.4775944,-8.4929558,2008,2023,16,6
Ireland,Hugh B. Feeley,"second data call, new data",IRL_051_MZB_LO,190,IR1350,IRL_051_MZB_LO_1350,OWENMORE (MAYO),54.1404202,-9.7543174,2008,2020,13,5
